DATE,PULL_UP,CHIN_UP,PUSH_UP,SQUAT,HR_105-132,HR_133-166,HR_167+,MINS_RECOVERY,HRS_SLEEP,LITERS_H2O,MINS_HOT/COLD,MOOD,DISTANCE_KM,POINT_TOTAL
01/01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.0,0.0,0.0
01/02,0.0,0.0,15.0,15.0,6.25,0.0,0.0,0.0,2.0,3,5,8.0,8.9,46.25
01/03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,3,0,7.0,2.6,25.0
01/04,5.0,3.15,0.0,3.06,0.5,0.0,0.0,0.0,1.75,4,4,8.0,3.0,21.46
01/05,0.0,0.0,15.0,4.32,0.0,0.0,0.0,0.0,1.5,4,0,6.0,3.0,24.82
01/06,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,2.0,2,0,7.0,2.7,5.75
01/07,0.0,4.05,0.0,5.0,0.5,0.0,0.0,0.0,1.5,2,0,7.0,4.3,13.05
01/08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.0,1.6,0.0
01/09,0.0,0.0,13.35,3.3749999999999996,1.75,0.0,0.0,0.0,2.0,2,0,7.0,3.7,22.474999999999998
01/10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,0,6.0,1.6,4.0
01/11,0.0,7.5,0.0,0.0,0.25,0.0,0.0,0.0,2.0,4,0,7.0,2.3,13.75
01/12,0.0,0.0,14.25,0.0,0.0,0.0,0.0,0.0,2.0,4,0,7.0,2.4,20.25
01/13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,0,7.0,1.5,4.0
01/14,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,2.0,1,0,7.0,3.1,3.75
01/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1,0,7.0,0.8,2.5
01/16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1,0,7.0,2.3,2.75
01/17,0.0,7.5,15.0,10.0,2.25,0.0,0.0,0.0,2.0,2,0,7.0,5.0,38.75
01/18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2,0,7.0,1.8,3.5
01/19,0.0,5.25,7.8,0.0,0.0,0.0,0.0,0.0,2.0,2,0,7.0,2.5,17.05
01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2,0,7.0,1.9,3.5
01/21,3.2,0.0,0.0,0.0,0.25,0.0,0.0,0.0,2.0,2,0,7.0,2.3,7.45
01/22,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2,0,7.0,4.1,6.0
01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2,0,7.0,0.8,3.5
01/24,3.4000000000000004,0.0,3.75,2.5,1.0,0.0,0.0,0.0,2.0,2,0,6.0,2.0,14.65
01/25,5.2,4.2,8.4,10.3,1.5,0.0,0.0,0.0,2.0,2,0,6.0,4.8,33.6
01/26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,0,7.0,2.9,4.0
01/27,0.0,0.0,15.0,12.0,1.75,0.0,0.0,0.0,2.0,2,0,7.0,3.5,32.75
01/28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,2,0,6.0,1.6,3.75
01/29,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,2,0,7.0,4.5,4.5
01/30,3.8000000000000003,2.6999999999999997,0.0,0.0,5.75,6.0,0.0,0.0,1.75,2,0,8.0,5.4,22.0
01/31,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.5,3,0,5.0,2.6,4.75
TOTAL:,20.6,34.35,107.55000000000001,65.55499999999999,27.0,6.0,0.0,20.0,53.5,66,9,6.774193548387097,89.5,409.555
